vectorizer,vocabulary_size,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
TfidfVectorizer + strip_accents + lowercase,5523,0.6530054644808743,0.69140625,0.7866666666666666,0.7359667359667359,0.6131914893617021
TfidfVectorizer,5541,0.6502732240437158,0.689453125,0.7844444444444445,0.7338877338877339,0.610307328605201
"CountVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + stop_words",283,0.639344262295082,0.6890243902439024,0.7533333333333333,0.7197452229299363,0.6053900709219858
CountVectorizer,5541,0.6338797814207651,0.6872427983539094,0.7422222222222222,0.7136752136752136,0.6016075650118203
CountVectorizer + strip_accents + lowercase + stop_words,5389,0.6366120218579235,0.6854838709677419,0.7555555555555555,0.7188160676532769,0.6011820330969266
CountVectorizer + strip_accents + lowercase,5523,0.6325136612021858,0.6865979381443299,0.74,0.7122994652406417,0.6004964539007092
"CountVectorizer + strip_accents + lowercase + stop_words + {min,max}_df + ngrams",291,0.6270491803278688,0.6824742268041237,0.7355555555555555,0.7080213903743315,0.5947281323877068
"CountVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + WordNetLemmatizer",286,0.6270491803278688,0.6809815950920245,0.74,0.7092651757188498,0.593404255319149
"CountVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + PorterStemmer",294,0.6256830601092896,0.6795918367346939,0.74,0.7085106382978723,0.5916312056737589
TfidfVectorizer + strip_accents + lowercase + stop_words,5389,0.6311475409836066,0.67578125,0.7688888888888888,0.7193347193347194,0.5901182033096927
"TfidfVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + PorterStemmer",294,0.6461748633879781,0.6702317290552585,0.8355555555555556,0.7438180019782393,0.5897635933806147
"CountVectorizer + strip_accents + lowercase + stop_words + {min,max}_df",283,0.6229508196721312,0.6754032258064516,0.7444444444444445,0.7082452431289642,0.5867612293144209
"CountVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + SpaCy",248,0.6270491803278688,0.672514619883041,0.7666666666666667,0.7165109034267912,0.5854609929078014
"TfidfVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + stop_words",283,0.6434426229508197,0.6666666666666666,0.84,0.743362831858407,0.5848936170212766
"TfidfVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + WordNetLemmatizer",286,0.6407103825136612,0.6660746003552398,0.8333333333333334,0.7403751233958539,0.5833333333333335
"TfidfVectorizer + strip_accents + lowercase + stop_words + {min,max}_df",283,0.639344262295082,0.6637323943661971,0.8377777777777777,0.7406679764243614,0.5802364066193852
"TfidfVectorizer + strip_accents + lowercase + stop_words + {min,max}_df + ngrams",291,0.6379781420765027,0.6637168141592921,0.8333333333333334,0.7389162561576356,0.5797872340425532
"TfidfVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + None",546,0.6420765027322405,0.6598639455782312,0.8622222222222222,0.7475915221579961,0.576501182033097
"CountVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + None",546,0.6010928961748634,0.6680851063829787,0.6977777777777778,0.6826086956521739,0.5722931442080379
"TfidfVectorizer + strip_accents + lowercase + {min,max}_df + ngrams + SpaCy",248,0.6297814207650273,0.6567425569176882,0.8333333333333334,0.7345739471106758,0.5691489361702129
